company,total_units,total_revenue,total_profit,profit_margin_percent
"Agro Export Nigeria Ltd",59944,1867914625.1799994,383051968.3399998,20.51
"Golden Farms Nigeria Limited",60724,1732721289.72,371301964.6200002,21.43
"Prime Agro Exports Nigeria Limited",52035,1706071643.61,315610854.63,18.5
"Nigeria Agro Export Company",54717,1704147641.2899992,325659627.66,19.11
"Nigerian Export Promotion Council (NEPC)",55833,1647087954.7200003,345639629.62999994,20.98
"Farmgate Nigeria Limited",52010,1615237652.08,336966268.86000013,20.86
"Solid Agro Nigeria Limited",51565,1541529740.6000001,311948626.94000006,20.24
"Greenfield Agro Exporters Nigeria Limited",50633,1506892570.6000001,309214754.36,20.52
"Agriplus Nigeria Limited",52139,1503023344.3000002,306226282.45000005,20.37
"Agro Allied Exporters Nigeria Limited",47204,1493038016.4699996,282829177.9,18.94
